word,remark_manual,remark_auto,definition_source_1,definition_source_2,definition_source_3,food_example,unnamed: 6,merged_text,tfidf_cluster,remark_auto_aligned,alignment_score,Word,foodbert_cluster,foodbert_umap_x,foodbert_umap_y,cookbert_cluster,cookbert_umap_x,cookbert_umap_y
crimp,shape change,shape change slight,pinch edges together,seal pastry decoratively,press to close dough,crimp pie crust edges,,shape change slight pinch edges together seal pastry decoratively press to close dough,5,shape change,1.0,crimp,12,7.4055867,4.1811614,18,10.163575,1.8677721
punch,shape change,shape change,press down firmly,knock air out of dough,deflate risen dough,punch down bread dough,,shape change press down firmly knock air out of dough deflate risen dough,2,shape change,1.0,punch,13,6.6624,4.4620476,18,10.433269,1.8137217
knead,shape change,shape change,work dough by hand,press and fold repeatedly,develop gluten structure,knead bread dough,,shape change work dough by hand press and fold repeatedly develop gluten structure,2,shape change,1.0,knead,19,6.17488,4.193538,18,10.311428,1.7770069
rise,shape change,shape change,increase in size,expand due to gas,dough grows larger,dough rises before baking,,shape change increase in size expand due to gas dough grows larger,2,shape change,1.0,rise,13,6.665646,4.2882285,18,10.591959,1.6785995
rising,shape change,shape change,dough expansion,increase in size,gas causes growth,dough rising before baking,,shape change dough expansion increase in size gas causes growth,2,shape change,1.0,rising,13,6.4735203,4.3968186,18,10.58538,1.5814577
ice,cooling,add ice cool,cool rapidly with ice,add ice to chill,lower temperature quickly,ice vegetables after blanching,,add ice cool cool rapidly with ice add ice to chill lower temperature quickly,3,add water,0.3786964065190975,ice,15,3.3086343,4.506451,18,12.745004,3.7990892
flatten,shape change,shape change,make level or thin,press down evenly,reduce thickness,flatten dough,,shape change make level or thin press down evenly reduce thickness,2,shape change,1.0,flatten,13,7.355388,3.3923707,18,10.164567,1.6231254
unroll,shape change,shape change,open rolled food,flatten from roll,prepare sheet,unroll pastry,,shape change open rolled food flatten from roll prepare sheet,5,shape change,1.0,unroll,13,7.450147,4.5249643,18,8.913601,2.2236514
stretch,shape change,shape change,pull gently to enlarge,extend dough,increase surface area,stretch pizza dough,,shape change pull gently to enlarge extend dough increase surface area,2,shape change,1.0,stretch,13,6.7327485,4.599402,18,10.259994,1.5840803
powdered,shape change,shape change,ground into fine dust,very fine texture,reduced to powder form,powdered sugar,,shape change ground into fine dust very fine texture reduced to powder form,2,shape change,1.0,powdered,13,7.6782765,2.9593143,18,9.451406,1.3559902
wilt,shape change,shape change,soften leaves,become limp from heat,reduce firmness,wilt spinach,,shape change soften leaves become limp from heat reduce firmness,2,shape change,1.0,wilt,15,7.047432,3.1199758,18,10.660599,1.2009546
whip,shape change,shape change,beat rapidly,add air to mixture,increase volume,whip cream,,shape change beat rapidly add air to mixture increase volume,2,shape change,1.0,whip,15,6.498637,3.8849196,18,11.244968,1.9632217
thicken,reduce water,reduce liquid,increase density,reduce liquid,add body to sauce,thicken gravy,,reduce liquid increase density reduce liquid add body to sauce,5,reduce water,0.4330430737670977,thicken,15,5.1234727,1.5456301,18,11.82578,2.1022396
square,shape change,shape change,shape into equal sides,form even edges,cut into squares,square brownies,,shape change shape into equal sides form even edges cut into squares,2,shape change,1.0,square,13,7.7636466,3.5657372,18,9.239735,2.1297405
soften,shape change,shape change,make less firm,reduce hardness,loosen texture,soften butter,,shape change make less firm reduce hardness loosen texture,2,shape change,1.0,soften,13,7.1958814,3.662676,18,10.203562,1.3957305
mould,shape change,shape change,shape food,form using mold,create set shape,mould butter,,shape change shape food form using mold create set shape,2,shape change,1.0,mould,13,7.084933,4.1715975,18,9.367686,2.3802445
shape,shape change,shape change,form into desired form,give structure,create outline,shape dough,,shape change form into desired form give structure create outline,2,shape change,1.0,shape,13,7.104771,4.278588,18,9.304041,2.3626616
raise,action,action,increase height or level,cause dough to grow,elevate mixture,yeast raises dough,,action increase height or level cause dough to grow elevate mixture,2,action,1.0,raise,13,6.3348384,4.487785,18,10.491899,1.5303929
squash,shape change,shape change,press flat,crush gently,reduce thickness,squash tomatoes,,shape change press flat crush gently reduce thickness,2,shape change,1.0,squash,13,7.3380227,3.304476,18,10.152258,1.5787427
crush,shape change,shape change,press or grind forcefully,break into smaller pieces,reduce texture,crush garlic,,shape change press or grind forcefully break into smaller pieces reduce texture,2,shape change,1.0,crush,13,7.6482053,3.3614216,18,9.790556,1.580027
mound,shape change,shape change,shape into small heap,pile food loosely,form round pile,mound rice on plate,,shape change shape into small heap pile food loosely form round pile,2,shape change,1.0,mound,13,7.24301,4.086396,18,9.30259,2.197895
unfold,shape change,shape change,open folded item,spread out flat,expose layers,unfold puff pastry,,shape change open folded item spread out flat expose layers,5,shape change,1.0,unfold,9,7.2234697,5.012554,18,9.124478,1.9782345
smooth,shape change,shape change,even surface,no lumps,polish texture,smooth frosting,,shape change even surface no lumps polish texture,2,shape change,1.0,smooth,13,7.036919,3.6146336,18,9.895761,1.6541919
roll,shape change,shape change,flatten or shape by rolling,form cylinder,shape dough,roll out pastry,,shape change flatten or shape by rolling form cylinder shape dough,2,shape change,1.0,roll,13,7.2794127,4.3813696,18,9.550309,2.1995604
whisk,shape change,shape change,beat rapidly,incorporate air,mix quickly,whisk eggs,,shape change beat rapidly incorporate air mix quickly,2,shape change,1.0,whisk,15,6.518526,3.6965942,18,9.778703,3.7082841
melt,shape change,shape change,change solid to liquid,heat until liquid,softening with heat,melt butter,,shape change change solid to liquid heat until liquid softening with heat,5,shape change,1.0,melt,15,6.9387693,3.247829,18,11.649057,1.9129213
pull,shape change,shape change,stretch or draw apart,remove with force,extract ingredient,pull dough for bread,,shape change stretch or draw apart remove with force extract ingredient,5,shape change,1.0,pull,13,6.9919243,4.7532635,18,10.196984,2.5185754
