word,remark_manual,remark_auto,definition_source_1,definition_source_2,definition_source_3,food_example,unnamed: 6,merged_text,tfidf_cluster,remark_auto_aligned,alignment_score,Word,foodbert_cluster,foodbert_umap_x,foodbert_umap_y,cookbert_cluster,cookbert_umap_x,cookbert_umap_y
invert,action,flip action,turn upside down,flip container or food,reverse position,invert cake onto plate,,flip action turn upside down flip container or food reverse position,5,action,1.0,invert,18,5.753491,5.627837,17,9.123084,3.25177
tilt,action,pan movement,angle container,lean pan slightly,direct liquid flow,tilt pan to baste steak,,pan movement angle container lean pan slightly direct liquid flow,5,sound,0.0,tilt,2,3.4656727,3.2972484,17,13.065916,4.607573
rotate,action,action,turn around,change position,ensure even cooking,rotate baking tray,,action turn around change position ensure even cooking,5,action,1.0,rotate,18,5.3360353,5.388303,17,9.042101,3.780156
flip,action,action,turn over,reverse sides,change cooking surface,flip pancake,,action turn over reverse sides change cooking surface,5,action,1.0,flip,18,5.462016,5.5564556,17,9.240002,3.3784213
twist,action,action,turn or coil,rotate ends,shape ingredient,twist breadsticks,,action turn or coil rotate ends shape ingredient,5,action,1.0,twist,18,5.8852034,5.623457,17,9.262224,3.0618303
swirl,action,action,move in circular motion,mix gently,create pattern,swirl sauce on plate,,action move in circular motion mix gently create pattern,4,action,1.0,swirl,19,5.1313033,4.6681557,17,9.228552,3.514693
whirl,action,action,spin rapidly,mix in circular motion,blend by spinning,whirl sauce in blender,,action spin rapidly mix in circular motion blend by spinning,4,action,1.0,whirl,19,5.045929,4.3197722,17,9.450852,3.4136877
push,action,action,move by applying pressure,press forward,shift ingredient,push dough into pan,,action move by applying pressure press forward shift ingredient,5,action,1.0,push,19,5.018205,3.7421212,17,9.37432,3.2105074
turn,action,action,flip or rotate,change side or orientation,move position,turn steak in pan,,action flip or rotate change side or orientation move position,5,action,1.0,turn,18,5.5071144,5.569362,17,9.168114,3.236874
place,action,action,put in position,set ingredient down,arrange on surface,place dough on tray,,action put in position set ingredient down arrange on surface,5,action,1.0,place,19,5.319948,4.395564,17,8.901035,3.8584151
