word,remark_manual,remark_auto,definition_source_1,definition_source_2,definition_source_3,food_example,unnamed: 6,merged_text,tfidf_cluster,remark_auto_aligned,alignment_score,Word,foodbert_cluster,foodbert_umap_x,foodbert_umap_y,cookbert_cluster,cookbert_umap_x,cookbert_umap_y
distribute,separate items,spread parts,spread evenly,divide among parts,arrange throughout dish,distribute toppings evenly,,spread parts spread evenly divide among parts arrange throughout dish,5,sound,0.0,distribute,6,6.4607415,1.6571115,19,8.352432,1.6670305
grate,shape change,shape change cheese,shred into fine pieces,rub against grater,reduce to small bits,grate cheese,,shape change cheese shred into fine pieces rub against grater reduce to small bits,2,shape change,1.0,grate,13,7.942169,2.9437985,19,9.177049,1.1892611
shred,shape change,shape change item,cut into thin strips,tear finely,reduce to strands,shred chicken,,shape change item cut into thin strips tear finely reduce to strands,2,shape change,0.9045801740656269,shred,13,8.059343,3.4797857,19,9.173984,1.8473986
flake,cutting,cut item,break into layers,separate gently,form small pieces,flake cooked fish,,cut item break into layers separate gently form small pieces,2,item,1.0,flake,13,8.430955,3.4288988,19,8.964031,1.7482203
crumble,cutting,cut item,break into small pieces,reduce to crumbs,create rough texture,crumble cheese,,cut item break into small pieces reduce to crumbs create rough texture,2,item,1.0,crumble,13,8.041576,2.9334097,19,9.176844,1.4527558
grind,cutting,cut item,crush into small particles,powder by crushing,reduce size,grind spices,,cut item crush into small particles powder by crushing reduce size,2,item,1.0,grind,13,7.6834593,2.9304225,19,9.19607,1.5215446
trim,remove unwanted item,remove unwanted item,remove excess parts,cut unwanted edges,neaten ingredient,trim fat from meat,,remove unwanted item remove excess parts cut unwanted edges neaten ingredient,2,remove unwanted item,1.0,trim,4,6.7225504,5.9314556,19,8.676559,2.1411157
divide,cutting,cut item,separate into portions,split evenly,create equal parts,divide dough,,cut item separate into portions split evenly create equal parts,2,item,1.0,divide,13,8.7891655,3.551929,19,8.298152,1.5902404
tear,cutting,cut item,pull apart roughly,divide by hand,separate unevenly,tear lettuce,,cut item pull apart roughly divide by hand separate unevenly,2,item,1.0,tear,13,8.676022,3.4880018,19,8.260858,1.506571
break,cutting,cut item small,separate into pieces,divide food forcefully,split ingredient,break chocolate into chunks,,cut item small separate into pieces divide food forcefully split ingredient,2,item,1.0,break,13,8.703063,3.712217,19,8.493141,1.7216018
dice,cutting,cut item high,cut into small cubes,chop evenly into pieces,uniform cutting,dice vegetables,,cut item high cut into small cubes chop evenly into pieces uniform cutting,2,item,1.0,dice,13,8.329221,3.1435359,19,8.743858,1.3179259
split,cutting,cut item,divide lengthwise,separate in half,cut into sections,split buns,,cut item divide lengthwise separate in half cut into sections,2,item,1.0,split,30,8.875752,3.4730935,19,8.355093,1.5135487
minced,cutting,cut item,cut into very small pieces,finely chopped,reduce size of ingredient,minced garlic,,cut item cut into very small pieces finely chopped reduce size of ingredient,2,item,1.0,minced,13,8.492182,3.5027745,19,8.940118,1.2307718
mince,cutting,cut item,cut into very small pieces,chop finely,reduce to tiny bits,mince onions,,cut item cut into very small pieces chop finely reduce to tiny bits,2,item,1.0,mince,13,8.320836,3.1746955,19,8.85868,1.2547745
chop,cutting,cut item,cut into pieces,divide roughly,cut ingredients,chop onions,,cut item cut into pieces divide roughly cut ingredients,2,item,1.0,chop,13,8.628545,3.6492653,19,8.613468,1.5563025
separate,cutting,cut item,divide into parts,remove layers,split ingredient,separate egg yolk from white,,cut item divide into parts remove layers split ingredient,2,item,1.0,separate,13,8.80496,3.7986112,19,8.497988,1.7788675
slice,cutting,cut item,cut into flat pieces,divide food,make thin portions,slice bread,,cut item cut into flat pieces divide food make thin portions,2,item,1.0,slice,13,8.538481,3.6430345,19,8.651625,1.3168217
cut,cutting,cut item,divide with knife,slice or chop,shape ingredients,cut vegetables,,cut item divide with knife slice or chop shape ingredients,2,item,1.0,cut,13,8.475049,3.935166,19,8.610401,1.4533191
