word,remark_manual,remark_auto,definition_source_1,definition_source_2,definition_source_3,food_example,unnamed: 6,merged_text,tfidf_cluster,remark_auto_aligned,alignment_score,Word,foodbert_cluster,foodbert_umap_x,foodbert_umap_y,cookbert_cluster,cookbert_umap_x,cookbert_umap_y
stream,action,continuous action,pour in a steady flow,add liquid continuously,let liquid run smoothly,stream oil into dressing,,continuous action pour in a steady flow add liquid continuously let liquid run smoothly,5,action,1.0,stream,19,4.934869,4.0880456,28,12.035472,2.292909
absorbed,add water,absorb water,taken in fully,soaked into food,no liquid remains,rice has absorbed water,,absorb water taken in fully soaked into food no liquid remains,5,water cooking,0.5454499149998363,absorbed,15,5.114904,1.0646687,28,12.219301,3.3255162
refrigerate,shape change,shape change,keep cold for storage,store in refrigerator,slow food spoilage,refrigerate leftovers,,shape change keep cold for storage store in refrigerator slow food spoilage,5,shape change,1.0,refrigerate,15,3.8693676,4.9112377,28,12.804666,4.122197
evaporated,reduce water,reduce water,reduced by heat,water removed,concentrated liquid,evaporated milk,,reduce water reduced by heat water removed concentrated liquid,5,reduce water,1.0,evaporated,15,4.761583,1.3170469,28,12.3490095,2.8428113
evaporate,reduce water,remove water,turn liquid to vapor,remove moisture by heating,reduce liquid content,water evaporates from sauce,,remove water turn liquid to vapor remove moisture by heating reduce liquid content,5,remove unwanted item,0.3586231983895778,evaporate,15,5.111747,1.5059702,28,12.21554,2.6307454
condensed,reduce water,remove water more,thickened by reduction,water removed,concentrated form,condensed milk,,remove water more thickened by reduction water removed concentrated form,5,more cooking,0.3817744687094886,condensed,15,4.781777,1.3673826,28,12.298054,2.8586137
defrost,reduce water,remove ice,remove ice,thaw frozen food,return to usable state,defrost meat safely,,remove ice remove ice thaw frozen food return to usable state,3,remove unwanted item,0.4629286027068446,defrost,22,3.8028166,4.6358166,28,12.695617,3.475532
unmold,action,take out of mold,remove from mold,release shaped food,turn out of container,unmold pudding,,take out of mold remove from mold release shaped food turn out of container,2,mixture of flour,0.447213595499958,unmold,4,6.8455505,5.8645997,28,12.022333,2.902412
moisten,add water,add water,add slight liquid,prevent dryness,lightly wet,moisten cake layers,,add water add slight liquid prevent dryness lightly wet,5,add water,1.0,moisten,15,5.4332366,2.3765843,28,11.567969,3.9066803
skim,reduce water,remove water,remove surface layer,take off foam or fat,clear liquid,skim soup,,remove water remove surface layer take off foam or fat clear liquid,5,remove unwanted item,0.3586231983895778,skim,10,5.4003296,1.4807287,28,11.995038,3.020713
soak,add water,add water,submerge in liquid,allow absorption,hydrate ingredient,soak beans overnight,,add water submerge in liquid allow absorption hydrate ingredient,5,add water,1.0,soak,15,5.0890346,1.1219777,28,11.683801,2.526169
drip,reduce water,remove liquid,let liquid fall slowly,allow excess liquid to drop,drain lightly,let oil drip off food,,remove liquid let liquid fall slowly allow excess liquid to drop drain lightly,5,liquid leftover,0.408248290463863,drip,15,5.193195,1.461524,28,12.010087,2.4188135
submerge,add water,add water,put completely under liquid,cover fully with liquid,immerse ingredient,submerge pasta in boiling water,,add water put completely under liquid cover fully with liquid immerse ingredient,5,add water,1.0,submerge,15,5.1459517,1.1718011,28,11.787317,2.6522517
immerse,add water,add water,place fully in liquid,submerge completely,soak entirely,immerse vegetables in ice bath,,add water place fully in liquid submerge completely soak entirely,5,add water,1.0,immerse,15,5.1798935,1.1139553,28,11.893173,2.5259311
squeeze,action,action,press to extract liquid,remove juice,apply pressure,squeeze lemon juice,,action press to extract liquid remove juice apply pressure,5,action,1.0,squeeze,19,5.0060782,3.6069615,28,11.774804,2.4137852
blot,reduce water,remove water,absorb excess liquid,remove moisture,dry surface,blot fried food,,remove water absorb excess liquid remove moisture dry surface,5,remove unwanted item,0.3586231983895778,blot,15,5.637535,1.457607,28,12.454462,2.786493
thaw,reduce water,remove ice,defrost frozen food,return to room temperature,remove ice safely,thaw meat before cooking,,remove ice defrost frozen food return to room temperature remove ice safely,3,remove unwanted item,0.4629286027068446,thaw,22,3.5747602,4.584562,28,12.640539,3.3237927
uncover,action,action,remove lid or cover,expose food during cooking,allow browning or evaporation,uncover pot to reduce sauce,,action remove lid or cover expose food during cooking allow browning or evaporation,5,action,1.0,uncover,9,4.4074283,3.90444,28,11.998521,3.4115496
uncovered,action,action,not covered during cooking,exposed to air,allow evaporation,bake uncovered,,action not covered during cooking exposed to air allow evaporation,5,action,1.0,uncovered,9,4.517079,3.755292,28,12.266388,3.4919066
strain,filtering,filter,separate liquid from solids,filter mixture,remove particles,strain broth,,filter separate liquid from solids filter mixture remove particles,5,sound,0.0,strain,23,5.7989426,1.8915373,28,12.450251,2.695571
reduce,reduce water,remove water,simmer to thicken,evaporate excess liquid,concentrate flavor,reduce sauce,,remove water simmer to thicken evaporate excess liquid concentrate flavor,5,remove unwanted item,0.3586231983895778,reduce,15,4.8963447,1.4412876,28,12.302463,2.613234
dripping,liquid leftover,liquid leftover,liquid falling from food,fat released during cooking,juices from meat,collect pan drippings,,liquid leftover liquid falling from food fat released during cooking juices from meat,5,liquid leftover,1.0,dripping,14,3.706245,1.9647459,28,12.372501,3.6247165
drain,reduce water,remove liquid,remove liquid from solid,let liquid run off,separate food from water,drain pasta,,remove liquid remove liquid from solid let liquid run off separate food from water,5,liquid leftover,0.408248290463863,drain,15,5.370127,1.5109361,28,12.298511,2.7225437
moist,add water,add water,containing enough water,not dry,retain juiciness,moist cake,,add water containing enough water not dry retain juiciness,5,add water,1.0,moist,15,4.951292,2.2009885,28,11.827423,3.9635808
dip,action,action,immerse briefly in liquid,soak partially,cover surface quickly,dip strawberries in chocolate,,action immerse briefly in liquid soak partially cover surface quickly,5,action,1.0,dip,15,5.485762,1.2456325,28,11.686281,2.7525642
wet,add water,add water,moisten with liquid,add water or other liquid,prevent dryness,wet hands when shaping dough,,add water moisten with liquid add water or other liquid prevent dryness,5,add water,1.0,wet,15,5.0948877,2.0044336,28,11.92446,3.713269
cover,action,action,place lid on top,protect from heat or moisture,seal container,cover pot while simmering,,action place lid on top protect from heat or moisture seal container,5,action,1.0,cover,9,4.527489,4.037039,28,11.650723,3.461369
dry,reduce water,remove liquid,eliminate moisture,remove water,make surface dry,dry washed lettuce,,remove liquid eliminate moisture remove water make surface dry,5,liquid leftover,0.408248290463863,dry,15,5.609095,1.5419465,28,12.456769,2.8030756
