word,remark_manual,remark_auto,definition_source_1,definition_source_2,definition_source_3,food_example,unnamed: 6,merged_text,tfidf_cluster,remark_auto_aligned,alignment_score,Word,foodbert_cluster,foodbert_umap_x,foodbert_umap_y,cookbert_cluster,cookbert_umap_x,cookbert_umap_y
floured,action,sprinkling flour,coated with flour,dusted to prevent sticking,lightly covered in flour,floured surface for rolling dough,,sprinkling flour coated with flour dusted to prevent sticking lightly covered in flour,4,mixture of flour,0.447213595499958,floured,5,5.6759305,2.0186055,25,11.911155,4.761217
frost,coating,layoring with frost,cover with icing,apply frosting,decorate baked goods,frost a cake,,layoring with frost cover with icing apply frosting decorate baked goods,5,sound,0.0,frost,10,6.5233755,2.9801185,25,11.626445,4.6479135
caramelize,coating,brown coating,brown sugars with heat,develop sweetness,cook until golden,caramelize onions,,brown coating brown sugars with heat develop sweetness cook until golden,5,coating,1.0,caramelize,15,7.0735736,2.5721276,25,10.888684,5.299244
grease,coating,coat with fat,coat with fat,apply oil or butter,prevent sticking,grease baking pan,,coat with fat coat with fat apply oil or butter prevent sticking,5,sound,0.0,grease,5,5.440061,2.0718746,25,11.429005,4.2400565
dredge,coating,coating,coat lightly with flour,cover before cooking,prepare for frying,dredge fish in flour,,coating coat lightly with flour cover before cooking prepare for frying,4,coating,1.0,dredge,5,5.328457,2.0614796,25,12.048106,4.916414
curdle,forming curd,forming curd,separate into lumps,form curds due to heat or acid,milk proteins clump,milk curdles when boiled,,forming curd separate into lumps form curds due to heat or acid milk proteins clump,3,forming curd,1.0000000000000002,curdle,15,6.631498,2.930476,25,9.60363,1.2882609
roux,mixture of flour,mixture of flour,fat and flour mixture,base for thickening sauces,cooked flour paste,make roux for gravy,,mixture of flour fat and flour mixture base for thickening sauces cooked flour paste,4,mixture of flour,1.0000000000000002,roux,14,3.8796048,1.8010546,25,11.973527,5.0671997
sear,coating,brown coating heat,brown surface quickly,seal exterior with heat,develop crust,sear meat before roasting,,brown coating heat brown surface quickly seal exterior with heat develop crust,5,coating,0.7071067811865476,sear,11,7.216039,5.4296846,25,11.03812,3.7965255
caramelized,coating,brown coating sweet,browned by sugar reaction,golden and sweetened,cooked until rich brown,caramelized onions,,brown coating sweet browned by sugar reaction golden and sweetened cooked until rich brown,5,coating,1.0,caramelized,15,7.0055385,2.5987256,25,10.941297,5.2852764
sweat,light cooking,cook slowly,soften without browning,release moisture gently,cook slowly in fat,sweat onions,,cook slowly soften without browning release moisture gently cook slowly in fat,5,sound,0.0,sweat,15,6.9331,2.5523243,25,11.019634,4.8928347
spray,add water,add liquid,apply as fine mist,distribute liquid lightly,coat evenly,spray oil on pan,,add liquid apply as fine mist distribute liquid lightly coat evenly,5,liquid leftover,0.4307387267923997,spray,6,6.0987763,1.8078139,25,11.297336,3.7722845
toast,light cooking,brown with heat,brown with dry heat,heat until crisp,enhance flavor,toast bread,,brown with heat brown with dry heat heat until crisp enhance flavor,5,heat plus cool item,0.3873092001071206,toast,15,6.847958,2.6147509,25,10.908151,5.326482
