word,remark_manual,remark_auto,definition_source_1,definition_source_2,definition_source_3,food_example,unnamed: 6,merged_text,tfidf_cluster,remark_auto_aligned,alignment_score,Word,foodbert_cluster,foodbert_umap_x,foodbert_umap_y,cookbert_cluster,cookbert_umap_x,cookbert_umap_y
thread,action,string attaching,slide onto skewer,string ingredients together,arrange in a line,thread vegetables onto skewers,,string attaching slide onto skewer string ingredients together arrange in a line,4,sound,0.0,thread,27,5.3953476,3.215033,20,9.770547,2.8041956
tie,action,bind,bind with string,secure ingredients,hold shape while cooking,tie roast with twine,,bind bind with string secure ingredients hold shape while cooking,4,sound,0.0,tie,12,6.4030747,3.792556,20,10.106114,3.2598372
pierce,cutting,small cut,make small hole,puncture surface,allow heat or flavor in,pierce potatoes before baking,,small cut make small hole puncture surface allow heat or flavor in,2,sound,0.0,pierce,13,7.8068695,4.021014,20,9.986596,2.2413282
prick,cutting,small cut,make small holes,puncture lightly,release steam or air,prick pastry dough,,small cut make small holes puncture lightly release steam or air,2,sound,0.0,prick,13,7.742628,4.071106,20,10.21116,2.187545
tuck,shape change,small shape change,push neatly into place,secure edges,hide excess,tuck dough edges under,,small shape change push neatly into place secure edges hide excess,2,shape change,1.0,tuck,13,7.320107,4.093001,20,9.247025,2.6167824
snap,cutting,cut item,break cleanly,crack sharply,test crispness,beans snap when fresh,,cut item break cleanly crack sharply test crispness,2,item,1.0,snap,24,7.6065283,3.1765826,20,9.617526,1.9072073
smear,action,action,spread thickly,coat unevenly,apply with hand or tool,smear butter on toast,,action spread thickly coat unevenly apply with hand or tool,5,action,1.0,smear,19,6.012818,2.696997,20,10.379176,3.2503371
poke,cutting,cut item small,make small hole,prod lightly,puncture surface,poke holes in potatoes,,cut item small make small hole prod lightly puncture surface,2,item,1.0,poke,13,7.878743,4.1361976,20,9.921527,2.179618
pat,action,action,press lightly,flatten with hand,shape gently,pat dough,,action press lightly flatten with hand shape gently,5,action,1.0,pat,19,6.785955,3.1144059,20,9.825483,2.8695426
press,action,action,apply firm force,flatten with hand or tool,compact ingredients,press dough into pan,,action apply firm force flatten with hand or tool compact ingredients,5,action,1.0,press,19,5.9322324,3.0485897,20,9.942899,3.4016423
touch,action,action,handle lightly,test by hand,feel texture,touch dough gently,,action handle lightly test by hand feel texture,2,action,1.0,touch,19,5.915026,3.611831,20,10.293912,3.148846
