word,remark_manual,remark_auto,definition_source_1,definition_source_2,definition_source_3,food_example,unnamed: 6,merged_text,tfidf_cluster,remark_auto_aligned,alignment_score,Word,REMARK,biobert_cluster,umap_x,umap_y
dollop,unit,measuring unit,small rounded amount,spoonful portion,soft mound of food,dollop of cream,,measuring unit small rounded amount spoonful portion soft mound of food,1,unit,1.0,dollop,unit,18,8.760654,4.299921
slit,cutting,cut open,make narrow cut,cut slightly open,create opening,slit chili peppers,,cut open make narrow cut cut slightly open create opening,2,sound,0.0,slit,cutting,18,8.477263,6.007093
pierce,cutting,small cut,make small hole,puncture surface,allow heat or flavor in,pierce potatoes before baking,,small cut make small hole puncture surface allow heat or flavor in,2,sound,0.0,pierce,cutting,18,8.657225,6.2453895
prick,cutting,small cut,make small holes,puncture lightly,release steam or air,prick pastry dough,,small cut make small holes puncture lightly release steam or air,2,sound,0.0,prick,cutting,18,8.653699,6.3086953
shred,shape change,shape change item,cut into thin strips,tear finely,reduce to strands,shred chicken,,shape change item cut into thin strips tear finely reduce to strands,2,shape change,0.9045801740656269,shred,shape change,18,9.172022,4.962565
flake,cutting,cut item,break into layers,separate gently,form small pieces,flake cooked fish,,cut item break into layers separate gently form small pieces,2,item,1.0,flake,cutting,18,8.911102,4.6723423
crumble,cutting,cut item,break into small pieces,reduce to crumbs,create rough texture,crumble cheese,,cut item break into small pieces reduce to crumbs create rough texture,2,item,1.0,crumble,cutting,18,8.900119,4.59489
trim,remove unwanted item,remove unwanted item,remove excess parts,cut unwanted edges,neaten ingredient,trim fat from meat,,remove unwanted item remove excess parts cut unwanted edges neaten ingredient,2,remove unwanted item,1.0,trim,remove unwanted item,18,8.354013,4.761465
divide,cutting,cut item,separate into portions,split evenly,create equal parts,divide dough,,cut item separate into portions split evenly create equal parts,2,item,1.0,divide,cutting,18,8.40647,4.476826
square,shape change,shape change,shape into equal sides,form even edges,cut into squares,square brownies,,shape change shape into equal sides form even edges cut into squares,2,shape change,1.0,square,shape change,18,8.715343,4.8621435
strip,separate items,item separate,remove outer layer,pull off skin or leaves,take away covering,strip herbs from stems,,item separate remove outer layer pull off skin or leaves take away covering,5,item,0.6323490440621989,strip,separate items,18,9.048347,6.548215
poke,cutting,cut item small,make small hole,prod lightly,puncture surface,poke holes in potatoes,,cut item small make small hole prod lightly puncture surface,2,item,1.0,poke,cutting,18,8.557064,5.7876043
tear,cutting,cut item,pull apart roughly,divide by hand,separate unevenly,tear lettuce,,cut item pull apart roughly divide by hand separate unevenly,2,item,1.0,tear,cutting,18,8.740066,4.766212
scoop,unit,unit,lift with spoon,remove portion,serve rounded amount,scoop ice cream,,unit lift with spoon remove portion serve rounded amount,1,unit,1.0,scoop,unit,18,10.572313,5.933627
break,cutting,cut item small,separate into pieces,divide food forcefully,split ingredient,break chocolate into chunks,,cut item small separate into pieces divide food forcefully split ingredient,2,item,1.0,break,cutting,18,8.600017,4.2790556
dice,cutting,cut item high,cut into small cubes,chop evenly into pieces,uniform cutting,dice vegetables,,cut item high cut into small cubes chop evenly into pieces uniform cutting,2,item,1.0,dice,cutting,18,8.858219,4.465513
split,cutting,cut item,divide lengthwise,separate in half,cut into sections,split buns,,cut item divide lengthwise separate in half cut into sections,2,item,1.0,split,cutting,18,8.381071,4.5420346
minced,cutting,cut item,cut into very small pieces,finely chopped,reduce size of ingredient,minced garlic,,cut item cut into very small pieces finely chopped reduce size of ingredient,2,item,1.0,minced,cutting,18,8.816473,4.351437
mince,cutting,cut item,cut into very small pieces,chop finely,reduce to tiny bits,mince onions,,cut item cut into very small pieces chop finely reduce to tiny bits,2,item,1.0,mince,cutting,18,8.838302,4.406295
chop,cutting,cut item,cut into pieces,divide roughly,cut ingredients,chop onions,,cut item cut into pieces divide roughly cut ingredients,2,item,1.0,chop,cutting,18,8.494104,4.527402
separate,cutting,cut item,divide into parts,remove layers,split ingredient,separate egg yolk from white,,cut item divide into parts remove layers split ingredient,2,item,1.0,separate,cutting,18,8.433265,4.570077
slice,cutting,cut item,cut into flat pieces,divide food,make thin portions,slice bread,,cut item cut into flat pieces divide food make thin portions,2,item,1.0,slice,cutting,18,8.6915655,4.26248
cut,cutting,cut item,divide with knife,slice or chop,shape ingredients,cut vegetables,,cut item divide with knife slice or chop shape ingredients,2,item,1.0,cut,cutting,18,8.745313,5.4144974
