word,remark_manual,remark_auto,definition_source_1,definition_source_2,definition_source_3,food_example,unnamed: 6,merged_text,tfidf_cluster,remark_auto_aligned,alignment_score,Word,REMARK,biobert_cluster,umap_x,umap_y
punch,shape change,shape change,press down firmly,knock air out of dough,deflate risen dough,punch down bread dough,,shape change press down firmly knock air out of dough deflate risen dough,2,shape change,1.0,punch,shape change,3,10.759659,5.0118604
invert,action,flip action,turn upside down,flip container or food,reverse position,invert cake onto plate,,flip action turn upside down flip container or food reverse position,5,action,1.0,invert,action,3,10.834302,4.770391
insert,action,small action,put inside,place within food,add ingredient internally,insert garlic into roast,,small action put inside place within food add ingredient internally,5,action,1.0,insert,action,3,11.321782,4.858363
unmold,action,take out of mold,remove from mold,release shaped food,turn out of container,unmold pudding,,take out of mold remove from mold release shaped food turn out of container,2,mixture of flour,0.447213595499958,unmold,action,3,9.705044,4.6688933
tuck,shape change,small shape change,push neatly into place,secure edges,hide excess,tuck dough edges under,,small shape change push neatly into place secure edges hide excess,2,shape change,1.0,tuck,shape change,3,11.261358,4.3764906
rotate,action,action,turn around,change position,ensure even cooking,rotate baking tray,,action turn around change position ensure even cooking,5,action,1.0,rotate,action,3,11.611065,4.013127
handle,action,action,touch and move food,manage ingredients carefully,work with gently,handle dough lightly,,action touch and move food manage ingredients carefully work with gently,5,action,1.0,handle,action,3,11.849532,4.622554
flip,action,action,turn over,reverse sides,change cooking surface,flip pancake,,action turn over reverse sides change cooking surface,5,action,1.0,flip,action,3,10.998673,4.8187532
shake,action,action,move back and forth,agitate ingredients,mix lightly,shake dressing,,action move back and forth agitate ingredients mix lightly,4,action,1.0,shake,action,3,11.584652,4.5365095
swirl,action,action,move in circular motion,mix gently,create pattern,swirl sauce on plate,,action move in circular motion mix gently create pattern,4,action,1.0,swirl,action,3,10.836794,4.9183683
drop,action,action,let fall in small portions,release ingredient gently,place in batter,drop cookie dough onto tray,,action let fall in small portions release ingredient gently place in batter,5,action,1.0,drop,action,3,11.223144,5.0120993
unwrap,action,action,remove covering,take off packaging,expose food,unwrap chocolate,,action remove covering take off packaging expose food,5,action,1.0,unwrap,action,3,12.005371,4.241185
replace,action,action,put back in place,swap items,substitute ingredient,replace lid on pot,,action put back in place swap items substitute ingredient,5,action,1.0,replace,action,3,11.5556345,4.1268644
reserve,action,action,set aside for later,keep portion,save ingredient,reserve some sauce,,action set aside for later keep portion save ingredient,5,action,1.0,reserve,action,3,11.650734,4.1471567
cream,mixing,mixing,beat until smooth,combine fat and sugar,make light mixture,cream butter and sugar,,mixing beat until smooth combine fat and sugar make light mixture,4,mixing,1.0,cream,mixing,3,11.001813,4.6166277
dump,action,action,pour all at once,add quickly,transfer bulk ingredient,dump vegetables into pot,,action pour all at once add quickly transfer bulk ingredient,5,action,1.0,dump,action,3,11.328361,5.199035
throw,action,action,add quickly,mix roughly,put in container,throw vegetables into pan,,action add quickly mix roughly put in container,5,action,1.0,throw,action,3,11.461132,4.633567
rest,action,action,let food stand,allow to settle,pause cooking,rest meat after roasting,,action let food stand allow to settle pause cooking,5,action,1.0,rest,action,3,11.375154,4.284323
remove,action,action,take away,extract ingredient,discard,remove skin from fish,,action take away extract ingredient discard,5,action,1.0,remove,action,3,11.837988,4.0019493
place,action,action,put in position,set ingredient down,arrange on surface,place dough on tray,,action put in position set ingredient down arrange on surface,5,action,1.0,place,action,3,11.466439,4.096335
take,action,action,remove or pick up,carry away,grab ingredient,take pan off heat,,action remove or pick up carry away grab ingredient,5,action,1.0,take,action,3,11.929072,4.1163025
put,action,action,place somewhere,set ingredient down,add to dish,put vegetables in pot,,action place somewhere set ingredient down add to dish,5,action,1.0,put,action,3,11.597744,4.093677
