word,remark_manual,remark_auto,definition_source_1,definition_source_2,definition_source_3,food_example,unnamed: 6,merged_text,tfidf_cluster,remark_auto_aligned,alignment_score,Word,REMARK,biobert_cluster,umap_x,umap_y
floured,action,sprinkling flour,coated with flour,dusted to prevent sticking,lightly covered in flour,floured surface for rolling dough,,sprinkling flour coated with flour dusted to prevent sticking lightly covered in flour,4,mixture of flour,0.447213595499958,floured,action,12,11.610695,7.9072495
sterilize,cleaning,cleaning strong,destroy bacteria,clean thoroughly for safety,make free of germs,sterilize jars for canning,,cleaning strong destroy bacteria clean thoroughly for safety make free of germs,3,cleaning,1.0,sterilize,cleaning,12,11.311639,6.762122
absorbed,add water,absorb water,taken in fully,soaked into food,no liquid remains,rice has absorbed water,,absorb water taken in fully soaked into food no liquid remains,5,water cooking,0.5454499149998363,absorbed,add water,12,10.445964,7.6774864
frost,coating,layoring with frost,cover with icing,apply frosting,decorate baked goods,frost a cake,,layoring with frost cover with icing apply frosting decorate baked goods,5,sound,0.0,frost,coating,12,11.45055,7.958705
dredge,coating,coating,coat lightly with flour,cover before cooking,prepare for frying,dredge fish in flour,,coating coat lightly with flour cover before cooking prepare for frying,4,coating,1.0,dredge,coating,12,11.760091,7.9039764
tilt,action,pan movement,angle container,lean pan slightly,direct liquid flow,tilt pan to baste steak,,pan movement angle container lean pan slightly direct liquid flow,5,sound,0.0,tilt,action,12,10.522735,7.9417014
scrub,cleaning,cleaning,clean by rubbing firmly,wash vegetables thoroughly,remove dirt,scrub potatoes,,cleaning clean by rubbing firmly wash vegetables thoroughly remove dirt,3,cleaning,1.0,scrub,cleaning,12,11.449362,6.813874
defrost,reduce water,remove ice,remove ice,thaw frozen food,return to usable state,defrost meat safely,,remove ice remove ice thaw frozen food return to usable state,3,remove unwanted item,0.4629286027068446,defrost,reduce water,12,12.20091,8.212606
preheat,light cooking,preheat,heat beforehand,warm oven before cooking,prepare correct temperature,preheat oven to 180°c,,preheat heat beforehand warm oven before cooking prepare correct temperature,5,sound,0.0,preheat,light cooking,12,12.168809,8.771512
tie,action,bind,bind with string,secure ingredients,hold shape while cooking,tie roast with twine,,bind bind with string secure ingredients hold shape while cooking,4,sound,0.0,tie,action,12,10.935349,8.21065
blanch,heat plus cool item,heat plus cool item,boil briefly then cool,scald vegetables quickly,prepare for freezing,blanch spinach,,heat plus cool item boil briefly then cool scald vegetables quickly prepare for freezing,3,heat plus cool item,1.0,blanch,heat plus cool item,12,11.694659,7.3641367
moisten,add water,add water,add slight liquid,prevent dryness,lightly wet,moisten cake layers,,add water add slight liquid prevent dryness lightly wet,5,add water,1.0,moisten,add water,12,10.5488405,7.203144
spray,add water,add liquid,apply as fine mist,distribute liquid lightly,coat evenly,spray oil on pan,,add liquid apply as fine mist distribute liquid lightly coat evenly,5,liquid leftover,0.4307387267923997,spray,add water,12,10.620756,7.3262024
sift,utensils,tool,pass through sieve,aerate dry ingredients,remove lumps,sift flour,,tool pass through sieve aerate dry ingredients remove lumps,3,sound,0.0,sift,utensils,12,11.137452,7.8160095
scrape,cleaning,clean,remove by dragging tool,collect residue,clean surface,scrape pan bottom,,clean remove by dragging tool collect residue clean surface,3,sound,0.0,scrape,cleaning,12,11.1664295,6.6562767
squeeze,action,action,press to extract liquid,remove juice,apply pressure,squeeze lemon juice,,action press to extract liquid remove juice apply pressure,5,action,1.0,squeeze,action,12,10.777402,7.616156
thaw,reduce water,remove ice,defrost frozen food,return to room temperature,remove ice safely,thaw meat before cooking,,remove ice defrost frozen food return to room temperature remove ice safely,3,remove unwanted item,0.4629286027068446,thaw,reduce water,12,11.92537,8.03531
rinse,cleaning,clean,wash lightly with water,remove residue or starch,clean briefly,rinse rice,,clean wash lightly with water remove residue or starch clean briefly,3,sound,0.0,rinse,cleaning,12,11.438292,7.0399404
seal,action,action,close tightly,lock in moisture,prevent air entry,seal container,,action close tightly lock in moisture prevent air entry,5,action,1.0,seal,action,12,10.897652,8.167627
wipe,cleaning,clean,clean surface lightly,remove residue with cloth,dry or clean gently,wipe cutting board,,clean clean surface lightly remove residue with cloth dry or clean gently,3,sound,0.0,wipe,cleaning,12,11.473887,6.8629727
wash,cleaning,clean,clean with water,remove dirt or residue,prepare for use,wash vegetables,,clean clean with water remove dirt or residue prepare for use,3,sound,0.0,wash,cleaning,12,11.350934,6.8170204
smear,action,action,spread thickly,coat unevenly,apply with hand or tool,smear butter on toast,,action spread thickly coat unevenly apply with hand or tool,5,action,1.0,smear,action,12,9.570063,5.213456
ladle,utensils,utensil,serve with deep spoon,pour using ladle,transfer liquid food,ladle soup into bowl,,utensil serve with deep spoon pour using ladle transfer liquid food,5,sound,0.0,ladle,utensils,12,10.615245,7.6873903
dust,action,sprinkling item,lightly sprinkle powder,add fine coating,coat gently,dust cake with sugar,,sprinkling item lightly sprinkle powder add fine coating coat gently,5,item,1.0,dust,action,12,11.642362,7.5364137
drizzle,action,?,pour lightly in thin stream,add small amount of liquid,decorate with sauce,drizzle olive oil,,? pour lightly in thin stream add small amount of liquid decorate with sauce,1,sound,0.0,drizzle,action,12,10.375606,7.3093586
clean,cleaning,clean,remove dirt,wash thoroughly,prepare hygienically,clean vegetables,,clean remove dirt wash thoroughly prepare hygienically,3,sound,0.0,clean,cleaning,12,11.487803,6.779789
splash,add water,add liquid,spray liquid lightly,scatter small drops,add water or sauce quickly,splash water on vegetables,,add liquid spray liquid lightly scatter small drops add water or sauce quickly,5,liquid leftover,0.4307387267923997,splash,add water,12,10.251181,7.926501
chill,cooling,cool item,cool in refrigerator,lower temperature,prepare for serving,chill dough before baking,,cool item cool in refrigerator lower temperature prepare for serving,3,heat plus cool item,0.6324289162028641,chill,cooling,12,11.634045,8.584702
moist,add water,add water,containing enough water,not dry,retain juiciness,moist cake,,add water containing enough water not dry retain juiciness,5,add water,1.0,moist,add water,12,10.968646,7.7997537
foil,decoration,prepare,wrap in metal sheet,cover with aluminum,protect food during cooking,foil fish before baking,,prepare wrap in metal sheet cover with aluminum protect food during cooking,5,sound,0.0,foil,decoration,12,11.221472,8.372444
wrap,action,action,cover with material,enclose food,seal ingredients,wrap sandwich in foil,,action cover with material enclose food seal ingredients,5,action,1.0,wrap,action,12,11.058623,8.297396
sprinkle,action,sprinkle item,scatter small amounts,lightly add topping,distribute evenly,sprinkle sugar on cake,,sprinkle item scatter small amounts lightly add topping distribute evenly,5,item,1.0,sprinkle,action,12,11.289787,7.6360354
wet,add water,add water,moisten with liquid,add water or other liquid,prevent dryness,wet hands when shaping dough,,add water moisten with liquid add water or other liquid prevent dryness,5,add water,1.0,wet,add water,12,10.762636,7.3964953
pre-heat,light cooking,low heating,heat oven beforehand,warm appliance before use,prepare correct temperature,pre-heat oven to 180°c,,low heating heat oven beforehand warm appliance before use prepare correct temperature,5,sound,0.0,pre-heat,light cooking,12,11.802824,8.743943
cover,action,action,place lid on top,protect from heat or moisture,seal container,cover pot while simmering,,action place lid on top protect from heat or moisture seal container,5,action,1.0,cover,action,12,11.056216,8.509032
