word,remark_manual,remark_auto,definition_source_1,definition_source_2,definition_source_3,food_example,unnamed: 6,merged_text,tfidf_cluster,remark_auto_aligned,alignment_score,Word,REMARK,biobert_cluster,umap_x,umap_y
splutter,sound,cooking sound,make popping sounds while cooking,spit or sputter when heated,cook noisily due to moisture or fat,oil splutters when onions are added,,cooking sound make popping sounds while cooking spit or sputter when heated cook noisily due to moisture or fat,5,sound,0.7972674568707612,splutter,sound,10,12.692303,8.463037
pressure,shape change,shape change,cook using steam pressure,apply force,use pressure cooking method,pressure cook beans,,shape change cook using steam pressure apply force use pressure cooking method,5,shape change,1.0,pressure,shape change,10,13.484267,8.966687
scramble,mixing,mix eggs,stir while cooking,quickly mix eggs while heating,cook eggs with stirring,scramble eggs in pan,,mix eggs stir while cooking quickly mix eggs while heating cook eggs with stirring,4,sound,0.0,scramble,mixing,10,12.9842825,9.370589
steep,flavoring,flavor change,soak in hot liquid,extract flavor over time,infuse liquid,steep tea or spices,,flavor change soak in hot liquid extract flavor over time infuse liquid,5,shape change,0.5773502691896257,steep,flavoring,10,12.62732,7.392714
smoking,flavoring,flavoring food hot,giving off smoke,very hot cooking state,used for flavoring food,smoking pan before searing,,flavoring food hot giving off smoke very hot cooking state used for flavoring food,5,flavoring,1.0,smoking,flavoring,10,13.025367,8.185744
marinate,flavoring,flavor change,soak in seasoned liquid,flavor before cooking,tenderize with marinade,marinate chicken overnight,,flavor change soak in seasoned liquid flavor before cooking tenderize with marinade,5,shape change,0.5773502691896257,marinate,flavoring,10,12.864713,7.6687903
crockpot,pressure cooking,pressure cooking,slow cooker appliance,electric pot for long cooking,low-heat cooking device,stew cooks in crockpot,,pressure cooking slow cooker appliance electric pot for long cooking low-heat cooking device,5,pressure cooking,1.0,crockpot,pressure cooking,10,13.480346,9.429915
caramelize,coating,brown coating,brown sugars with heat,develop sweetness,cook until golden,caramelize onions,,brown coating brown sugars with heat develop sweetness cook until golden,5,coating,1.0,caramelize,coating,10,12.849181,8.66659
grease,coating,coat with fat,coat with fat,apply oil or butter,prevent sticking,grease baking pan,,coat with fat coat with fat apply oil or butter prevent sticking,5,sound,0.0,grease,coating,10,12.357117,7.700045
overcook,more cooking,cook extra,cook too long,exceed ideal doneness,ruin texture or flavor,overcooked pasta,,cook extra cook too long exceed ideal doneness ruin texture or flavor,5,sound,0.0,overcook,more cooking,10,12.904267,7.943279
charred,more cooking,burning surface heat,burned on surface,blackened by heat,smoky flavor result,charred peppers,,burning surface heat burned on surface blackened by heat smoky flavor result,5,heat plus cool item,0.3873092001071206,charred,more cooking,10,12.820825,8.685507
griddle,utensils,cooking item,flat cooking surface,metal plate for frying,used for pancakes,bake on a griddle,,cooking item flat cooking surface metal plate for frying used for pancakes,5,item,0.7331713064113278,griddle,utensils,10,13.696918,9.283796
barbecue,more cooking,open heat cooking,cook over open flame,grill or smoke food,outdoor cooking method,barbecue ribs,,open heat cooking cook over open flame grill or smoke food outdoor cooking method,5,heat plus cool item,0.3087890209920528,barbecue,more cooking,10,13.402971,9.643308
curdle,forming curd,forming curd,separate into lumps,form curds due to heat or acid,milk proteins clump,milk curdles when boiled,,forming curd separate into lumps form curds due to heat or acid milk proteins clump,3,forming curd,1.0000000000000002,curdle,forming curd,10,9.257198,4.8894496
scorching,more cooking,high heat cooking,extremely hot,burning surface heat,risk of burning food,scorching pan heat,,high heat cooking extremely hot burning surface heat risk of burning food,5,heat plus cool item,0.3087890209920528,scorching,more cooking,10,13.123839,9.342878
muddle,mixing,mixing items,crush gently,press to release flavors,lightly mash ingredients,muddle mint for drinks,,mixing items crush gently press to release flavors lightly mash ingredients,5,mixing,0.7071067811865476,muddle,mixing,10,12.104125,7.4221864
deglaze,light cooking,light heat,loosen browned bits,dissolve pan residue with liquid,create sauce from drippings,deglaze pan with wine,,light heat loosen browned bits dissolve pan residue with liquid create sauce from drippings,5,light cooking,0.4408042661765528,deglaze,light cooking,10,12.441831,8.220205
freezing,cooling,cooling item,preserve by cold,turn liquid solid,store at very low temperature,freezing berries,,cooling item preserve by cold turn liquid solid store at very low temperature,5,cooling,0.7746836041079114,freezing,cooling,10,12.143431,9.424241
parboil,water cooking,cooking in water,boil briefly,partially cook in water,pre-cook ingredient,parboil potatoes,,cooking in water boil briefly partially cook in water pre-cook ingredient,5,water cooking,0.7439597134122227,parboil,water cooking,10,13.233877,9.663088
baste,add water,add water,moisten during cooking,spoon liquid over food,add flavor and moisture,baste roast chicken,,add water moisten during cooking spoon liquid over food add flavor and moisture,5,add water,1.0,baste,add water,10,12.944517,7.7482467
roux,mixture of flour,mixture of flour,fat and flour mixture,base for thickening sauces,cooked flour paste,make roux for gravy,,mixture of flour fat and flour mixture base for thickening sauces cooked flour paste,4,mixture of flour,1.0000000000000002,roux,mixture of flour,10,13.075878,7.5470266
flavoring,flavoring,flavour,ingredient adding taste,seasoning component,enhance flavor,add flavoring to soup,,flavour ingredient adding taste seasoning component enhance flavor,5,sound,0.0,flavoring,flavoring,10,13.321883,7.298425
decorate,decoration,presentation,add visual detail,garnish food,improve appearance,decorate cake,,presentation add visual detail garnish food improve appearance,5,sound,0.0,decorate,decoration,10,13.295878,6.8141932
broil,more cooking,high heat cooking,cook with intense top heat,use overhead heat,brown food quickly,broil fish fillets,,high heat cooking cook with intense top heat use overhead heat brown food quickly,5,heat plus cool item,0.3087890209920528,broil,more cooking,10,13.321811,9.162672
dressing,flavoring,add flavor,seasoned sauce for food,mixture for salads,flavoring liquid,add dressing to salad,,add flavor seasoned sauce for food mixture for salads flavoring liquid,5,add water,0.5687180842966731,dressing,flavoring,10,13.210326,7.440788
ice,cooling,add ice cool,cool rapidly with ice,add ice to chill,lower temperature quickly,ice vegetables after blanching,,add ice cool cool rapidly with ice add ice to chill lower temperature quickly,3,add water,0.3786964065190975,ice,cooling,10,11.529763,9.287069
sizzle,sound,sound,make hissing sound,cook with hot fat,quick high-heat sound,steak sizzles in pan,,sound make hissing sound cook with hot fat quick high-heat sound,5,sound,1.0,sizzle,sound,10,13.270252,9.05387
sweeten,add sugar,add sugar,add sugar,increase sweetness,improve taste,sweeten sauce lightly,,add sugar add sugar increase sweetness improve taste,5,add sugar,1.0000000000000002,sweeten,add sugar,10,13.407708,7.0093646
smoke,flavoring,add flavor,cook using smoke,flavor with burning wood,preserve and flavor,smoke fish,,add flavor cook using smoke flavor with burning wood preserve and flavor,5,add water,0.5687180842966731,smoke,flavoring,10,12.943897,7.164082
marinade,flavoring,add flavor,seasoned soaking liquid,flavoring mixture,tenderizing liquid,prepare a marinade,,add flavor seasoned soaking liquid flavoring mixture tenderizing liquid,5,add water,0.5687180842966731,marinade,flavoring,10,13.229003,7.43545
carve,cutting,cut item,cut cooked meat,slice neatly,prepare servings,carve roast,,cut item cut cooked meat slice neatly prepare servings,2,item,1.0,carve,cutting,10,13.348162,8.129276
braise,light cooking,slow heat,cook slowly with liquid,moist-heat cooking method,low and slow cooking,braise beef,,slow heat cook slowly with liquid moist-heat cooking method low and slow cooking,5,heat plus cool item,0.3873092001071206,braise,light cooking,10,13.089717,9.728339
process,shape change,shape change,prepare using machinery,blend or grind ingredients,transform using food processor,process nuts into paste,,shape change prepare using machinery blend or grind ingredients transform using food processor,5,shape change,1.0,process,shape change,10,12.601611,6.863908
bake,more cooking,heating,cook with dry heat,use oven heat,even cooking method,bake bread,,heating cook with dry heat use oven heat even cooking method,5,sound,0.0,bake,more cooking,10,13.386399,9.753789
char,flavoring,add flavor,burn surface intentionally,blacken with high heat,add smoky flavor,char vegetables,,add flavor burn surface intentionally blacken with high heat add smoky flavor,5,add water,0.5687180842966731,char,flavoring,10,12.640227,8.527696
poach,water cooking,cook in water,cook gently in liquid,low-temperature simmering,moist cooking method,poach eggs,,cook in water cook gently in liquid low-temperature simmering moist cooking method,5,water cooking,0.5454499149998363,poach,water cooking,10,13.326718,9.742885
seasoning,flavoring,add flavor,flavoring ingredients,salt and spices mix,enhance taste,add seasoning to soup,,add flavor flavoring ingredients salt and spices mix enhance taste,5,add water,0.5687180842966731,seasoning,flavoring,10,13.410253,7.121479
dress,flavoring,add flavor,add dressing or sauce,season and coat food,finish salad,dress the salad,,add flavor add dressing or sauce season and coat food finish salad,5,add water,0.5687180842966731,dress,flavoring,10,13.310795,7.4092236
burn,more cooking,high heat cooking,overheat food,blacken unintentionally,cause scorching,burn sugar quickly,,high heat cooking overheat food blacken unintentionally cause scorching,5,heat plus cool item,0.3087890209920528,burn,more cooking,10,13.005259,8.821479
reheat,light cooking,low heating,heat again,warm cooked food,restore serving temperature,reheat leftovers,,low heating heat again warm cooked food restore serving temperature,5,sound,0.0,reheat,light cooking,10,13.177235,8.727041
dripping,liquid leftover,liquid leftover,liquid falling from food,fat released during cooking,juices from meat,collect pan drippings,,liquid leftover liquid falling from food fat released during cooking juices from meat,5,liquid leftover,1.0,dripping,liquid leftover,10,12.761733,7.861841
simmer,light cooking,low heating,cook just below boiling,heat gently,maintain slow bubbles,simmer soup,,low heating cook just below boiling heat gently maintain slow bubbles,5,sound,0.0,simmer,light cooking,10,12.389181,9.529201
saute,more cooking,high heat cooking,cook quickly in small fat,high-heat frying,shallow pan cooking,saute onions,,high heat cooking cook quickly in small fat high-heat frying shallow pan cooking,5,heat plus cool item,0.3087890209920528,saute,more cooking,10,13.505061,9.369488
glaze,coating,coating,coat with glossy layer,apply sugar or sauce,add shiny finish,glaze donuts,,coating coat with glossy layer apply sugar or sauce add shiny finish,5,coating,1.0,glaze,coating,10,12.3793545,7.5876026
lard,decoration,prepare,insert fat into meat,fill with fat,prepare pastry or meat,lard pork roast,,prepare insert fat into meat fill with fat prepare pastry or meat,4,sound,0.0,lard,decoration,10,12.821654,7.711594
rub,action,action,rub spices or fat into food,massage seasoning in,apply friction,rub roast with herbs,,action rub spices or fat into food massage seasoning in apply friction,5,action,1.0,rub,action,10,12.736785,7.215434
scald,light cooking,low heating,heat liquid almost to boiling,hot but not boiling,prepare for pasteurization,scald milk,,low heating heat liquid almost to boiling hot but not boiling prepare for pasteurization,5,sound,0.0,scald,light cooking,10,12.40669,9.49662
steam,water cooking,water cooking,cook with steam,use vapor to cook,moist-heat method,steam vegetables,,water cooking cook with steam use vapor to cook moist-heat method,5,water cooking,1.0000000000000002,steam,water cooking,10,13.241711,9.814836
roast,more cooking,high heat cooking,cook with dry heat in oven,bake meat or vegetables,slow even cooking,roaѕt chicken,,high heat cooking cook with dry heat in oven bake meat or vegetables slow even cooking,5,heat plus cool item,0.3087890209920528,roast,more cooking,10,12.87064,9.135062
boil,water cooking,water cooking,cook in rapidly bubbling liquid,heat water until rolling boil,high-temperature cooking,boil pasta,,water cooking cook in rapidly bubbling liquid heat water until rolling boil high-temperature cooking,5,water cooking,1.0000000000000002,boil,water cooking,10,13.085963,9.223272
peel,shape change,shape change,remove skin or outer layer,skin fruit or vegetable,strip off covering,peel apples,,shape change remove skin or outer layer skin fruit or vegetable strip off covering,5,shape change,1.0,peel,shape change,10,12.005244,7.3334346
