word,remark_manual,remark_auto,definition_source_1,definition_source_2,definition_source_3,food_example,unnamed: 6,merged_text,tfidf_cluster,remark_auto_aligned,alignment_score,Word,REMARK,biobert_cluster,umap_x,umap_y
blitz,cutting,cut item heavily,process quickly in blender,puree rapidly,blend at high speed,blitz soup,,cut item heavily process quickly in blender puree rapidly blend at high speed,2,item,1.0,blitz,cutting,16,12.047495,6.004913
whip,shape change,shape change,beat rapidly,add air to mixture,increase volume,whip cream,,shape change beat rapidly add air to mixture increase volume,2,shape change,1.0,whip,shape change,16,9.107689,7.5760345
meld,flavoring,mix flavor,blend flavors together,combine smoothly,unite tastes,flavors meld in stew,,mix flavor blend flavors together combine smoothly unite tastes,4,sound,0.0,meld,flavoring,16,12.285123,5.7237797
assemble,action,action,put components together,combine prepared parts,build final dish,assemble sandwich,,action put components together combine prepared parts build final dish,4,action,1.0,assemble,action,16,12.213426,5.428571
fold,mixing,mixing,combine gently,turn mixture over softly,preserve air,fold egg whites into batter,,mixing combine gently turn mixture over softly preserve air,4,mixing,1.0,fold,mixing,16,11.115167,5.322705
beat,shape change,shape change,mix vigorously,stir rapidly,incorporate air,beat eggs,,shape change mix vigorously stir rapidly incorporate air,2,shape change,1.0,beat,shape change,16,11.366451,5.645023
stirring,mixing,mixing,moving ingredients around,mixing continuously,prevent sticking,stirring sauce,,mixing moving ingredients around mixing continuously prevent sticking,4,mixing,1.0,stirring,mixing,16,11.7709055,5.456211
stuff,mixing,add mixing,fill with mixture,pack ingredients inside,insert filling,stuff peppers,,add mixing fill with mixture pack ingredients inside insert filling,4,mixing,0.746061359591966,stuff,mixing,16,12.497044,6.274316
mash,mixing,high mixing,crush until smooth,press into paste,break down texture,mash potatoes,,high mixing crush until smooth press into paste break down texture,4,mixing,1.0,mash,mixing,16,11.769659,6.1599913
puree,mixing,mix high,blend into smooth paste,liquidize ingredients,mix thoroughly,puree carrots for soup,,mix high blend into smooth paste liquidize ingredients mix thoroughly,4,sound,0.0,puree,mixing,16,12.160112,5.8717933
whisk,shape change,shape change,beat rapidly,incorporate air,mix quickly,whisk eggs,,shape change beat rapidly incorporate air mix quickly,2,shape change,1.0,whisk,shape change,16,11.168874,5.7891865
combine,mixing,mixing,mix together,bring ingredients into one,blend thoroughly,combine flour and eggs,,mixing mix together bring ingredients into one blend thoroughly,4,mixing,1.0,combine,mixing,16,12.304784,5.712385
blend,mixing,mix high,mix thoroughly,combine ingredients smoothly,puree together,blend fruits for smoothie,,mix high mix thoroughly combine ingredients smoothly puree together,4,sound,0.0,blend,mixing,16,12.276939,5.7627373
toss,action,action,mix lightly by lifting,combine ingredients gently,shake to mix,toss salad,,action mix lightly by lifting combine ingredients gently shake to mix,4,action,1.0,toss,action,16,11.852507,5.3604054
stir,mixing,mixing,mix by rotating,move ingredients around,prevent sticking,stir soup,,mixing mix by rotating move ingredients around prevent sticking,4,mixing,1.0,stir,mixing,16,11.75821,5.3967295
mix,mixing,mixing,combine ingredients,blend thoroughly,stir together,mix flour and sugar,,mixing combine ingredients blend thoroughly stir together,4,mixing,1.0,mix,mixing,16,12.316619,5.805914
