word,remark_manual,remark_auto,definition_source_1,definition_source_2,definition_source_3,food_example,unnamed: 6,merged_text,tfidf_cluster,remark_auto_aligned,alignment_score,Word,REMARK,biobert_cluster,umap_x,umap_y
evaporated,reduce water,reduce water,reduced by heat,water removed,concentrated liquid,evaporated milk,,reduce water reduced by heat water removed concentrated liquid,5,reduce water,1.0,evaporated,reduce water,15,9.389331,7.6207075
evaporate,reduce water,remove water,turn liquid to vapor,remove moisture by heating,reduce liquid content,water evaporates from sauce,,remove water turn liquid to vapor remove moisture by heating reduce liquid content,5,remove unwanted item,0.3586231983895778,evaporate,reduce water,15,9.439538,7.770025
condensed,reduce water,remove water more,thickened by reduction,water removed,concentrated form,condensed milk,,remove water more thickened by reduction water removed concentrated form,5,more cooking,0.3817744687094886,condensed,reduce water,15,9.284936,7.6499057
sear,coating,brown coating heat,brown surface quickly,seal exterior with heat,develop crust,sear meat before roasting,,brown coating heat brown surface quickly seal exterior with heat develop crust,5,coating,0.7071067811865476,sear,coating,15,9.392669,6.9764395
caramelized,coating,brown coating sweet,browned by sugar reaction,golden and sweetened,cooked until rich brown,caramelized onions,,brown coating sweet browned by sugar reaction golden and sweetened cooked until rich brown,5,coating,1.0,caramelized,coating,15,12.528208,8.378962
skim,reduce water,remove water,remove surface layer,take off foam or fat,clear liquid,skim soup,,remove water remove surface layer take off foam or fat clear liquid,5,remove unwanted item,0.3586231983895778,skim,reduce water,15,9.363471,6.954862
sieve,filtering,filtering particles,strain dry or wet ingredients,separate fine particles,refine texture,sieve flour,,filtering particles strain dry or wet ingredients separate fine particles refine texture,3,filtering,1.0,sieve,filtering,15,9.675532,7.33203
powdered,shape change,shape change,ground into fine dust,very fine texture,reduced to powder form,powdered sugar,,shape change ground into fine dust very fine texture reduced to powder form,2,shape change,1.0,powdered,shape change,15,9.261741,4.809296
toast,light cooking,brown with heat,brown with dry heat,heat until crisp,enhance flavor,toast bread,,brown with heat brown with dry heat heat until crisp enhance flavor,5,heat plus cool item,0.3873092001071206,toast,light cooking,15,12.451766,8.888393
grind,cutting,cut item,crush into small particles,powder by crushing,reduce size,grind spices,,cut item crush into small particles powder by crushing reduce size,2,item,1.0,grind,cutting,15,9.079512,4.6409287
blot,reduce water,remove water,absorb excess liquid,remove moisture,dry surface,blot fried food,,remove water absorb excess liquid remove moisture dry surface,5,remove unwanted item,0.3586231983895778,blot,reduce water,15,9.58607,7.4970818
strain,filtering,filter,separate liquid from solids,filter mixture,remove particles,strain broth,,filter separate liquid from solids filter mixture remove particles,5,sound,0.0,strain,filtering,15,9.501606,7.4957037
drain,reduce water,remove liquid,remove liquid from solid,let liquid run off,separate food from water,drain pasta,,remove liquid remove liquid from solid let liquid run off separate food from water,5,liquid leftover,0.408248290463863,drain,reduce water,15,9.40348,7.329571
dry,reduce water,remove liquid,eliminate moisture,remove water,make surface dry,dry washed lettuce,,remove liquid eliminate moisture remove water make surface dry,5,liquid leftover,0.408248290463863,dry,reduce water,15,9.368896,7.1933355
