word,remark_manual,remark_auto,definition_source_1,definition_source_2,definition_source_3,food_example,unnamed: 6,merged_text,tfidf_cluster,remark_auto_aligned,alignment_score,Word,REMARK,biobert_cluster,umap_x,umap_y
crimp,shape change,shape change slight,pinch edges together,seal pastry decoratively,press to close dough,crimp pie crust edges,,shape change slight pinch edges together seal pastry decoratively press to close dough,5,shape change,1.0,crimp,shape change,17,10.661413,5.825294
knead,shape change,shape change,work dough by hand,press and fold repeatedly,develop gluten structure,knead bread dough,,shape change work dough by hand press and fold repeatedly develop gluten structure,2,shape change,1.0,knead,shape change,17,12.247529,7.0732684
grate,shape change,shape change cheese,shred into fine pieces,rub against grater,reduce to small bits,grate cheese,,shape change cheese shred into fine pieces rub against grater reduce to small bits,2,shape change,1.0,grate,shape change,17,9.33803,4.78258
flatten,shape change,shape change,make level or thin,press down evenly,reduce thickness,flatten dough,,shape change make level or thin press down evenly reduce thickness,2,shape change,1.0,flatten,shape change,17,10.238269,5.6978817
unroll,shape change,shape change,open rolled food,flatten from roll,prepare sheet,unroll pastry,,shape change open rolled food flatten from roll prepare sheet,5,shape change,1.0,unroll,shape change,17,9.710075,6.168888
stretch,shape change,shape change,pull gently to enlarge,extend dough,increase surface area,stretch pizza dough,,shape change pull gently to enlarge extend dough increase surface area,2,shape change,1.0,stretch,shape change,17,9.933975,5.7189612
wilt,shape change,shape change,soften leaves,become limp from heat,reduce firmness,wilt spinach,,shape change soften leaves become limp from heat reduce firmness,2,shape change,1.0,wilt,shape change,17,10.73419,6.279086
thicken,reduce water,reduce liquid,increase density,reduce liquid,add body to sauce,thicken gravy,,reduce liquid increase density reduce liquid add body to sauce,5,reduce water,0.4330430737670977,thicken,reduce water,17,10.1359,6.5850744
soften,shape change,shape change,make less firm,reduce hardness,loosen texture,soften butter,,shape change make less firm reduce hardness loosen texture,2,shape change,1.0,soften,shape change,17,10.324236,5.715323
smash,shape change,shape change,crush forcefully,flatten completely,break into pieces,smash garlic,,shape change crush forcefully flatten completely break into pieces,2,shape change,1.0,smash,shape change,17,9.715426,5.741171
squash,shape change,shape change,press flat,crush gently,reduce thickness,squash tomatoes,,shape change press flat crush gently reduce thickness,2,shape change,1.0,squash,shape change,17,10.413371,5.67429
crush,shape change,shape change,press or grind forcefully,break into smaller pieces,reduce texture,crush garlic,,shape change press or grind forcefully break into smaller pieces reduce texture,2,shape change,1.0,crush,shape change,17,9.990191,5.532657
pat,action,action,press lightly,flatten with hand,shape gently,pat dough,,action press lightly flatten with hand shape gently,5,action,1.0,pat,action,17,10.26845,5.0523167
unfold,shape change,shape change,open folded item,spread out flat,expose layers,unfold puff pastry,,shape change open folded item spread out flat expose layers,5,shape change,1.0,unfold,shape change,17,9.486991,5.911087
smooth,shape change,shape change,even surface,no lumps,polish texture,smooth frosting,,shape change even surface no lumps polish texture,2,shape change,1.0,smooth,shape change,17,10.170824,6.067021
press,action,action,apply firm force,flatten with hand or tool,compact ingredients,press dough into pan,,action apply firm force flatten with hand or tool compact ingredients,5,action,1.0,press,action,17,9.915728,5.2683034
pull,shape change,shape change,stretch or draw apart,remove with force,extract ingredient,pull dough for bread,,shape change stretch or draw apart remove with force extract ingredient,5,shape change,1.0,pull,shape change,17,9.652883,5.6214705
touch,action,action,handle lightly,test by hand,feel texture,touch dough gently,,action handle lightly test by hand feel texture,2,action,1.0,touch,action,17,10.188674,5.0611014
