word,remark_manual,remark_auto,definition_source_1,definition_source_2,definition_source_3,food_example,unnamed: 6,merged_text,tfidf_cluster,remark_auto_aligned,alignment_score,Word,pubmedbert_cluster,umap_x,umap_y
deflate,shape change,shape change,release trapped air,collapse after rising,remove gas from mixture,deflate whipped egg whites gently,,shape change release trapped air collapse after rising remove gas from mixture,2,shape change,1.0,deflate,24,0.42861444,-0.07746459
rise,shape change,shape change,increase in size,expand due to gas,dough grows larger,dough rises before baking,,shape change increase in size expand due to gas dough grows larger,2,shape change,1.0,rise,24,0.20891404,0.087347634
foam,forming foam,form bubble,mass of bubbles,light airy texture,bubbles formed by whisking,milk foam on coffee,,form bubble mass of bubbles light airy texture bubbles formed by whisking,2,bubble formation,0.5773502691896257,foam,24,0.2953045,-0.20299238
rising,shape change,shape change,dough expansion,increase in size,gas causes growth,dough rising before baking,,shape change dough expansion increase in size gas causes growth,2,shape change,1.0,rising,24,0.5989294,0.09797788
bubbling,bubble formation,bubble formation,form bubbles,boiling action,release gas while cooking,sauce bubbling gently,,bubble formation form bubbles boiling action release gas while cooking,2,bubble formation,1.0,bubbling,24,0.23994116,-0.26319098
bubble,bubble formation,form bubble,form bubbles,boil gently,release gas,mixture bubbles while heating,,form bubble form bubbles boil gently release gas,2,bubble formation,0.5773502691896257,bubble,24,0.36982408,-0.2192225
style,decoration,decorate,arrange attractively,shape presentation,decorate food,style plated dessert,,decorate arrange attractively shape presentation decorate food,5,sound,0.0,style,24,-0.19548981,0.094226494
whip,shape change,shape change,beat rapidly,add air to mixture,increase volume,whip cream,,shape change beat rapidly add air to mixture increase volume,2,shape change,1.0,whip,24,0.08199748,0.54016083
beat,shape change,shape change,mix vigorously,stir rapidly,incorporate air,beat eggs,,shape change mix vigorously stir rapidly incorporate air,2,shape change,1.0,beat,24,-0.13285318,0.255061
melt,shape change,shape change,change solid to liquid,heat until liquid,softening with heat,melt butter,,shape change change solid to liquid heat until liquid softening with heat,5,shape change,1.0,melt,24,-1.2901931,2.032908
