word,remark_manual,remark_auto,definition_source_1,definition_source_2,definition_source_3,food_example,unnamed: 6,merged_text,tfidf_cluster,remark_auto_aligned,alignment_score,Word,pubmedbert_cluster,umap_x,umap_y
refrigerate,shape change,shape change,keep cold for storage,store in refrigerator,slow food spoilage,refrigerate leftovers,,shape change keep cold for storage store in refrigerator slow food spoilage,5,shape change,1.0,refrigerate,23,-2.8271468,3.4551659
freezing,cooling,cooling item,preserve by cold,turn liquid solid,store at very low temperature,freezing berries,,cooling item preserve by cold turn liquid solid store at very low temperature,5,cooling,0.7746836041079114,freezing,23,-2.9381194,3.4977758
defrost,reduce water,remove ice,remove ice,thaw frozen food,return to usable state,defrost meat safely,,remove ice remove ice thaw frozen food return to usable state,3,remove unwanted item,0.4629286027068446,defrost,23,-2.5228689,3.2153902
preheat,light cooking,preheat,heat beforehand,warm oven before cooking,prepare correct temperature,preheat oven to 180°c,,preheat heat beforehand warm oven before cooking prepare correct temperature,5,sound,0.0,preheat,23,-3.3225331,3.1434793
store,action,place,keep for later use,place in storage,preserve food properly,store leftovers,,place keep for later use place in storage preserve food properly,5,sound,0.0,store,23,-1.9535481,3.1980855
ice,cooling,add ice cool,cool rapidly with ice,add ice to chill,lower temperature quickly,ice vegetables after blanching,,add ice cool cool rapidly with ice add ice to chill lower temperature quickly,3,add water,0.3786964065190975,ice,23,-2.7710698,3.4905355
thaw,reduce water,remove ice,defrost frozen food,return to room temperature,remove ice safely,thaw meat before cooking,,remove ice defrost frozen food return to room temperature remove ice safely,3,remove unwanted item,0.4629286027068446,thaw,23,-2.66836,3.4639893
simmer,light cooking,low heating,cook just below boiling,heat gently,maintain slow bubbles,simmer soup,,low heating cook just below boiling heat gently maintain slow bubbles,5,sound,0.0,simmer,23,-3.0407841,2.885477
chill,cooling,cool item,cool in refrigerator,lower temperature,prepare for serving,chill dough before baking,,cool item cool in refrigerator lower temperature prepare for serving,3,heat plus cool item,0.6324289162028641,chill,23,-2.7857277,3.4802525
cool,cooling,cool item,lower temperature,allow to reach room temp,chill slightly,cool cake on rack,,cool item lower temperature allow to reach room temp chill slightly,3,heat plus cool item,0.6324289162028641,cool,23,-2.9296722,3.6691089
pre-heat,light cooking,low heating,heat oven beforehand,warm appliance before use,prepare correct temperature,pre-heat oven to 180°c,,low heating heat oven beforehand warm appliance before use prepare correct temperature,5,sound,0.0,pre-heat,23,-3.2341855,3.3188558
warm,light cooking,low heating,increase temperature slightly,heat gently,keep at serving temp,warm soup,,low heating increase temperature slightly heat gently keep at serving temp,5,sound,0.0,warm,23,-2.7000263,3.7166848
heat,light cooking,low heating,increase temperature,cook using warmth,apply energy,heat oil before sautéing,,low heating increase temperature cook using warmth apply energy,5,sound,0.0,heat,23,-3.2545202,3.347703
