word,remark_manual,remark_auto,definition_source_1,definition_source_2,definition_source_3,food_example,unnamed: 6,merged_text,tfidf_cluster,remark_auto_aligned,alignment_score,Word,pubmedbert_cluster,umap_x,umap_y
crimp,shape change,shape change slight,pinch edges together,seal pastry decoratively,press to close dough,crimp pie crust edges,,shape change slight pinch edges together seal pastry decoratively press to close dough,5,shape change,1.0,crimp,25,0.67691994,0.4326311
punch,shape change,shape change,press down firmly,knock air out of dough,deflate risen dough,punch down bread dough,,shape change press down firmly knock air out of dough deflate risen dough,2,shape change,1.0,punch,25,0.6194157,0.3823879
select,action,choosing,choose carefully,pick desired items,decide on ingredients,select ripe tomatoes,,choosing choose carefully pick desired items decide on ingredients,5,sound,0.0,select,25,1.6483642,2.9389565
knead,shape change,shape change,work dough by hand,press and fold repeatedly,develop gluten structure,knead bread dough,,shape change work dough by hand press and fold repeatedly develop gluten structure,2,shape change,1.0,knead,25,1.0149736,0.041288197
dollop,unit,measuring unit,small rounded amount,spoonful portion,soft mound of food,dollop of cream,,measuring unit small rounded amount spoonful portion soft mound of food,1,unit,1.0,dollop,25,1.7431711,0.7970681
tie,action,bind,bind with string,secure ingredients,hold shape while cooking,tie roast with twine,,bind bind with string secure ingredients hold shape while cooking,4,sound,0.0,tie,25,1.694725,1.9446682
pierce,cutting,small cut,make small hole,puncture surface,allow heat or flavor in,pierce potatoes before baking,,small cut make small hole puncture surface allow heat or flavor in,2,sound,0.0,pierce,25,1.4710977,0.85286427
insert,action,small action,put inside,place within food,add ingredient internally,insert garlic into roast,,small action put inside place within food add ingredient internally,5,action,1.0,insert,25,1.6223687,3.150791
grate,shape change,shape change cheese,shred into fine pieces,rub against grater,reduce to small bits,grate cheese,,shape change cheese shred into fine pieces rub against grater reduce to small bits,2,shape change,1.0,grate,25,1.798414,0.28653207
prick,cutting,small cut,make small holes,puncture lightly,release steam or air,prick pastry dough,,small cut make small holes puncture lightly release steam or air,2,sound,0.0,prick,25,2.0410094,0.029189944
shred,shape change,shape change item,cut into thin strips,tear finely,reduce to strands,shred chicken,,shape change item cut into thin strips tear finely reduce to strands,2,shape change,0.9045801740656269,shred,25,2.1132114,-0.08289029
flatten,shape change,shape change,make level or thin,press down evenly,reduce thickness,flatten dough,,shape change make level or thin press down evenly reduce thickness,2,shape change,1.0,flatten,25,1.1973225,0.672301
