word,remark_manual,remark_auto,definition_source_1,definition_source_2,definition_source_3,food_example,unnamed: 6,merged_text,tfidf_cluster,remark_auto_aligned,alignment_score,Word,foodbert_cluster,foodbert_umap_x,foodbert_umap_y
splutter,sound,cooking sound,make popping sounds while cooking,spit or sputter when heated,cook noisily due to moisture or fat,oil splutters when onions are added,,cooking sound make popping sounds while cooking spit or sputter when heated cook noisily due to moisture or fat,5,sound,0.7972674568707612,splutter,15,3.406143,2.44511
sterilize,cleaning,cleaning strong,destroy bacteria,clean thoroughly for safety,make free of germs,sterilize jars for canning,,cleaning strong destroy bacteria clean thoroughly for safety make free of germs,3,cleaning,1.0,sterilize,15,5.693608,6.646655
steep,flavoring,flavor change,soak in hot liquid,extract flavor over time,infuse liquid,steep tea or spices,,flavor change soak in hot liquid extract flavor over time infuse liquid,5,shape change,0.5773502691896257,steep,15,4.751794,1.6245284
absorbed,add water,absorb water,taken in fully,soaked into food,no liquid remains,rice has absorbed water,,absorb water taken in fully soaked into food no liquid remains,5,water cooking,0.5454499149998363,absorbed,15,5.114904,1.0646687
smoking,flavoring,flavoring food hot,giving off smoke,very hot cooking state,used for flavoring food,smoking pan before searing,,flavoring food hot giving off smoke very hot cooking state used for flavoring food,5,flavoring,1.0,smoking,15,3.8150651,2.3170116
marinate,flavoring,flavor change,soak in seasoned liquid,flavor before cooking,tenderize with marinade,marinate chicken overnight,,flavor change soak in seasoned liquid flavor before cooking tenderize with marinade,5,shape change,0.5773502691896257,marinate,15,4.4366326,1.8464004
foam,forming foam,form bubble,mass of bubbles,light airy texture,bubbles formed by whisking,milk foam on coffee,,form bubble mass of bubbles light airy texture bubbles formed by whisking,2,bubble formation,0.5773502691896257,foam,15,6.328751,3.3226862
caramelize,coating,brown coating,brown sugars with heat,develop sweetness,cook until golden,caramelize onions,,brown coating brown sugars with heat develop sweetness cook until golden,5,coating,1.0,caramelize,15,7.0735736,2.5721276
refrigerate,shape change,shape change,keep cold for storage,store in refrigerator,slow food spoilage,refrigerate leftovers,,shape change keep cold for storage store in refrigerator slow food spoilage,5,shape change,1.0,refrigerate,15,3.8693676,4.9112377
evaporated,reduce water,reduce water,reduced by heat,water removed,concentrated liquid,evaporated milk,,reduce water reduced by heat water removed concentrated liquid,5,reduce water,1.0,evaporated,15,4.761583,1.3170469
charred,more cooking,burning surface heat,burned on surface,blackened by heat,smoky flavor result,charred peppers,,burning surface heat burned on surface blackened by heat smoky flavor result,5,heat plus cool item,0.3873092001071206,charred,15,3.7607067,2.6716464
evaporate,reduce water,remove water,turn liquid to vapor,remove moisture by heating,reduce liquid content,water evaporates from sauce,,remove water turn liquid to vapor remove moisture by heating reduce liquid content,5,remove unwanted item,0.3586231983895778,evaporate,15,5.111747,1.5059702
condensed,reduce water,remove water more,thickened by reduction,water removed,concentrated form,condensed milk,,remove water more thickened by reduction water removed concentrated form,5,more cooking,0.3817744687094886,condensed,15,4.781777,1.3673826
barbecue,more cooking,open heat cooking,cook over open flame,grill or smoke food,outdoor cooking method,barbecue ribs,,open heat cooking cook over open flame grill or smoke food outdoor cooking method,5,heat plus cool item,0.3087890209920528,barbecue,15,2.6070647,3.0171278
curdle,forming curd,forming curd,separate into lumps,form curds due to heat or acid,milk proteins clump,milk curdles when boiled,,forming curd separate into lumps form curds due to heat or acid milk proteins clump,3,forming curd,1.0000000000000002,curdle,15,6.631498,2.930476
scorching,more cooking,high heat cooking,extremely hot,burning surface heat,risk of burning food,scorching pan heat,,high heat cooking extremely hot burning surface heat risk of burning food,5,heat plus cool item,0.3087890209920528,scorching,15,3.1381662,2.9053473
freezing,cooling,cooling item,preserve by cold,turn liquid solid,store at very low temperature,freezing berries,,cooling item preserve by cold turn liquid solid store at very low temperature,5,cooling,0.7746836041079114,freezing,15,3.6978636,5.0186443
parboil,water cooking,cooking in water,boil briefly,partially cook in water,pre-cook ingredient,parboil potatoes,,cooking in water boil briefly partially cook in water pre-cook ingredient,5,water cooking,0.7439597134122227,parboil,15,2.2913408,3.0447774
baste,add water,add water,moisten during cooking,spoon liquid over food,add flavor and moisture,baste roast chicken,,add water moisten during cooking spoon liquid over food add flavor and moisture,5,add water,1.0,baste,15,4.783422,1.8414806
preheat,light cooking,preheat,heat beforehand,warm oven before cooking,prepare correct temperature,preheat oven to 180°c,,preheat heat beforehand warm oven before cooking prepare correct temperature,5,sound,0.0,preheat,15,3.1908126,3.687042
store,action,place,keep for later use,place in storage,preserve food properly,store leftovers,,place keep for later use place in storage preserve food properly,5,sound,0.0,store,15,3.9469323,5.133333
bubbling,bubble formation,bubble formation,form bubbles,boiling action,release gas while cooking,sauce bubbling gently,,bubble formation form bubbles boiling action release gas while cooking,2,bubble formation,1.0,bubbling,15,6.1610646,3.361853
blanch,heat plus cool item,heat plus cool item,boil briefly then cool,scald vegetables quickly,prepare for freezing,blanch spinach,,heat plus cool item boil briefly then cool scald vegetables quickly prepare for freezing,3,heat plus cool item,1.0,blanch,15,3.1760607,3.7550864
flavoring,flavoring,flavour,ingredient adding taste,seasoning component,enhance flavor,add flavoring to soup,,flavour ingredient adding taste seasoning component enhance flavor,5,sound,0.0,flavoring,15,4.7296505,2.0524578
insert,action,small action,put inside,place within food,add ingredient internally,insert garlic into roast,,small action put inside place within food add ingredient internally,5,action,1.0,insert,15,5.536519,4.505007
broil,more cooking,high heat cooking,cook with intense top heat,use overhead heat,brown food quickly,broil fish fillets,,high heat cooking cook with intense top heat use overhead heat brown food quickly,5,heat plus cool item,0.3087890209920528,broil,15,2.773779,2.9429572
dressing,flavoring,add flavor,seasoned sauce for food,mixture for salads,flavoring liquid,add dressing to salad,,add flavor seasoned sauce for food mixture for salads flavoring liquid,5,add water,0.5687180842966731,dressing,15,4.4012327,2.147214
ice,cooling,add ice cool,cool rapidly with ice,add ice to chill,lower temperature quickly,ice vegetables after blanching,,add ice cool cool rapidly with ice add ice to chill lower temperature quickly,3,add water,0.3786964065190975,ice,15,3.3086343,4.506451
