word,remark_manual,remark_auto,definition_source_1,definition_source_2,definition_source_3,food_example,unnamed: 6,merged_text,tfidf_cluster,remark_auto_aligned,alignment_score,Word,foodbert_cluster,foodbert_umap_x,foodbert_umap_y
frost,coating,layoring with frost,cover with icing,apply frosting,decorate baked goods,frost a cake,,layoring with frost cover with icing apply frosting decorate baked goods,5,sound,0.0,frost,10,6.5233755,2.9801185
decorate,decoration,presentation,add visual detail,garnish food,improve appearance,decorate cake,,presentation add visual detail garnish food improve appearance,5,sound,0.0,decorate,10,4.988951,2.9389534
skim,reduce water,remove water,remove surface layer,take off foam or fat,clear liquid,skim soup,,remove water remove surface layer take off foam or fat clear liquid,5,remove unwanted item,0.3586231983895778,skim,10,5.4003296,1.4807287
style,decoration,decorate,arrange attractively,shape presentation,decorate food,style plated dessert,,decorate arrange attractively shape presentation decorate food,5,sound,0.0,style,10,6.7799335,3.9402277
garnish,decoration,decorate,decorate dish,add finishing touch,improve appearance,garnish with herbs,,decorate decorate dish add finishing touch improve appearance,5,sound,0.0,garnish,10,6.855932,3.7987976
strip,separate items,item separate,remove outer layer,pull off skin or leaves,take away covering,strip herbs from stems,,item separate remove outer layer pull off skin or leaves take away covering,5,item,0.6323490440621989,strip,10,6.963704,5.8914833
glaze,coating,coating,coat with glossy layer,apply sugar or sauce,add shiny finish,glaze donuts,,coating coat with glossy layer apply sugar or sauce add shiny finish,5,coating,1.0,glaze,10,6.2202,2.3952334
skin,shape change,shape change,remove outer layer,peel off covering,prepare surface,skin tomatoes,,shape change remove outer layer peel off covering prepare surface,5,shape change,1.0,skin,10,7.1793575,5.4823623
peel,shape change,shape change,remove skin or outer layer,skin fruit or vegetable,strip off covering,peel apples,,shape change remove skin or outer layer skin fruit or vegetable strip off covering,5,shape change,1.0,peel,10,7.215972,5.7146087
coat,coating,coating,cover with layer,apply outer layer,encase ingredient,coat chicken with breadcrumbs,,coating cover with layer apply outer layer encase ingredient,5,coating,1.0,coat,10,7.378982,5.340367
zest,action,?,grate outer peel of citrus,extract aromatic layer,add flavor,zest lemon over cake,,? grate outer peel of citrus extract aromatic layer add flavor,5,sound,0.0,zest,10,4.340717,2.6917975
top,decoration,prepare,place on upper surface,add finishing layer,decorate,top cake with strawberries,,prepare place on upper surface add finishing layer decorate,5,sound,0.0,top,10,7.2828836,5.1671987
