word,remark_manual,remark_auto,definition_source_1,definition_source_2,definition_source_3,food_example,unnamed: 6,merged_text,tfidf_cluster,remark_auto_aligned,alignment_score,Word,foodbert_cluster,foodbert_umap_x,foodbert_umap_y
deflate,shape change,shape change,release trapped air,collapse after rising,remove gas from mixture,deflate whipped egg whites gently,,shape change release trapped air collapse after rising remove gas from mixture,2,shape change,1.0,deflate,13,6.516969,4.3108015
punch,shape change,shape change,press down firmly,knock air out of dough,deflate risen dough,punch down bread dough,,shape change press down firmly knock air out of dough deflate risen dough,2,shape change,1.0,punch,13,6.6624,4.4620476
rise,shape change,shape change,increase in size,expand due to gas,dough grows larger,dough rises before baking,,shape change increase in size expand due to gas dough grows larger,2,shape change,1.0,rise,13,6.665646,4.2882285
rising,shape change,shape change,dough expansion,increase in size,gas causes growth,dough rising before baking,,shape change dough expansion increase in size gas causes growth,2,shape change,1.0,rising,13,6.4735203,4.3968186
slit,cutting,cut open,make narrow cut,cut slightly open,create opening,slit chili peppers,,cut open make narrow cut cut slightly open create opening,2,sound,0.0,slit,13,8.101323,4.2331986
pierce,cutting,small cut,make small hole,puncture surface,allow heat or flavor in,pierce potatoes before baking,,small cut make small hole puncture surface allow heat or flavor in,2,sound,0.0,pierce,13,7.8068695,4.021014
grate,shape change,shape change cheese,shred into fine pieces,rub against grater,reduce to small bits,grate cheese,,shape change cheese shred into fine pieces rub against grater reduce to small bits,2,shape change,1.0,grate,13,7.942169,2.9437985
prick,cutting,small cut,make small holes,puncture lightly,release steam or air,prick pastry dough,,small cut make small holes puncture lightly release steam or air,2,sound,0.0,prick,13,7.742628,4.071106
shred,shape change,shape change item,cut into thin strips,tear finely,reduce to strands,shred chicken,,shape change item cut into thin strips tear finely reduce to strands,2,shape change,0.9045801740656269,shred,13,8.059343,3.4797857
flatten,shape change,shape change,make level or thin,press down evenly,reduce thickness,flatten dough,,shape change make level or thin press down evenly reduce thickness,2,shape change,1.0,flatten,13,7.355388,3.3923707
unroll,shape change,shape change,open rolled food,flatten from roll,prepare sheet,unroll pastry,,shape change open rolled food flatten from roll prepare sheet,5,shape change,1.0,unroll,13,7.450147,4.5249643
flake,cutting,cut item,break into layers,separate gently,form small pieces,flake cooked fish,,cut item break into layers separate gently form small pieces,2,item,1.0,flake,13,8.430955,3.4288988
tuck,shape change,small shape change,push neatly into place,secure edges,hide excess,tuck dough edges under,,small shape change push neatly into place secure edges hide excess,2,shape change,1.0,tuck,13,7.320107,4.093001
